id,active,category,code,note,score,unit,version,name
itb_dupak_standard_V_G_2_c,TRUE,award,V.G.2.c,,1,tanda jasa,0,penghargaan lainnya tingkat provinsi
itb_dupak_standard_V_H_1,TRUE,publication,V.H.1,,5,buku,0,buku SLTA
itb_dupak_standard_V_H_2,TRUE,publication,V.H.2,,5,buku,0,buku SLTP
itb_dupak_standard_V_H_3,TRUE,publication,V.H.3,,5,buku,0,buku SD
itb_dupak_standard_V_I_1,TRUE,award,V.I.1,,5,tanda jasa,0,prestasi olahraga/humaniora tingkat internasional
itb_dupak_standard_V_I_2,TRUE,award,V.I.2,,3,tanda jasa,0,prestasi olahraga/humaniora tingkat nasional
itb_dupak_standard_V_I_3,TRUE,award,V.I.3,,1,tanda jasa,0,prestasi olahraga/humaniora tingkat daerah
itb_dupak_standard_V_J,TRUE,duty,V.J,,0.5,semester,0,Menjadi anggota tim penilai jabatan Akademik Dosen
itb_dupak_standard_II_D_2_b,TRUE,supervisory,II.D.2.b,,2,lulusan,0,Pembimbing Pendamping Thesis
itb_dupak_standard_III_A_1_d,TRUE,publication,III.A.1.d,,2,artikel,0,Dalam koran/majalah populer/umum
