"id";"spending_ids/id";"plan_line_ids/id";"name";"target_ids/id";"year"
"";"itb_plan_spending_410";"";"";"";""
"";"itb_plan_spending_411";"";"";"";""
"";"itb_plan_spending_412";"";"";"";""
"";"itb_plan_spending_413";"";"";"";""
"";"itb_plan_spending_414";"";"";"";""
"";"itb_plan_spending_415";"";"";"";""
"";"itb_plan_spending_416";"";"";"";""
"";"itb_plan_spending_417";"";"";"";""
"";"itb_plan_spending_418";"";"";"";""
"";"itb_plan_spending_419";"";"";"";""
"";"itb_plan_spending_420";"";"";"";""
"";"itb_plan_spending_421";"";"";"";""
"";"itb_plan_spending_422";"";"";"";""
"";"itb_plan_spending_423";"";"";"";""
"";"itb_plan_spending_424";"";"";"";""
"";"itb_plan_spending_425";"";"";"";""
"";"itb_plan_spending_426";"";"";"";""
"";"itb_plan_spending_427";"";"";"";""
"";"itb_plan_spending_428";"";"";"";""
"";"itb_plan_spending_429";"";"";"";""
"";"itb_plan_spending_430";"";"";"";""
"";"itb_plan_spending_431";"";"";"";""
"";"itb_plan_spending_432";"";"";"";""
"";"itb_plan_spending_433";"";"";"";""
"";"itb_plan_spending_434";"";"";"";""
"";"itb_plan_spending_435";"";"";"";""
"";"itb_plan_spending_436";"";"";"";""
"";"itb_plan_spending_437";"";"";"";""
"";"itb_plan_spending_438";"";"";"";""
"";"itb_plan_spending_439";"";"";"";""
"";"itb_plan_spending_440";"";"";"";""
"";"itb_plan_spending_441";"";"";"";""
"";"itb_plan_spending_442";"";"";"";""
"";"itb_plan_spending_443";"";"";"";""
"";"itb_plan_spending_444";"";"";"";""
"";"itb_plan_spending_445";"";"";"";""
"";"itb_plan_spending_446";"";"";"";""
"";"itb_plan_spending_447";"";"";"";""
"";"itb_plan_spending_448";"";"";"";""
"";"itb_plan_spending_449";"";"";"";""
"";"itb_plan_spending_450";"";"";"";""
"";"itb_plan_spending_451";"";"";"";""
"";"itb_plan_spending_452";"";"";"";""
"";"itb_plan_spending_453";"";"";"";""
"";"itb_plan_spending_454";"";"";"";""
"";"itb_plan_spending_455";"";"";"";""
"";"itb_plan_spending_456";"";"";"";""
"";"itb_plan_spending_457";"";"";"";""
"";"itb_plan_spending_458";"";"";"";""
"";"itb_plan_spending_459";"";"";"";""
"";"itb_plan_spending_460";"";"";"";""
"";"itb_plan_spending_461";"";"";"";""
"";"itb_plan_spending_462";"";"";"";""
"";"itb_plan_spending_463";"";"";"";""
"";"itb_plan_spending_464";"";"";"";""
"";"itb_plan_spending_465";"";"";"";""
"";"itb_plan_spending_466";"";"";"";""
"";"itb_plan_spending_467";"";"";"";""
"";"itb_plan_spending_468";"";"";"";""
"";"itb_plan_spending_469";"";"";"";""
"";"itb_plan_spending_470";"";"";"";""
"";"itb_plan_spending_471";"";"";"";""
"";"itb_plan_spending_472";"";"";"";""
"";"itb_plan_spending_473";"";"";"";""
